drawing_date,1,2,3,4,5,megaball,jackpot,estimated_cash_value
2025-01-03,20,42,46,59,69,19,42000000,20290200
2025-01-07,20,24,33,39,48,18,62000000,29952200
2025-01-10,9,23,39,65,66,22,77000000,37198700
2025-01-14,4,14,35,49,62,6,95000000,45894500
2025-01-17,8,10,37,54,69,22,113000000,54590300
2025-01-21,27,30,56,64,65,22,20000000,9662000
2025-01-24,8,12,43,52,62,18,28000000,13526800
2025-01-28,10,19,31,47,56,6,44000000,21256400
2025-01-31,9,28,48,56,63,2,59000000,28502900
2025-02-04,14,24,31,53,54,1,77000000,37198700
2025-02-07,4,24,32,41,55,16,94000000,45411400
2025-02-11,7,30,39,41,70,13,110000000,53141000
2025-02-14,11,19,31,49,56,16,129000000,62319900
2025-02-18,1,20,25,58,61,22,145000000,70049500
2025-02-21,1,13,28,37,46,10,165000000,79711500
2025-02-25,4,8,11,32,52,13,181000000,87441100
2025-02-28,9,19,30,35,66,16,197000000,95170700
2025-03-04,14,19,47,52,70,6,215000000,103866500
2025-03-07,8,20,48,58,60,7,233000000,112562300
2025-03-11,1,19,26,38,69,15,256000000,123673600
2025-03-14,3,17,39,42,70,1,277000000,133818700
2025-03-18,27,28,31,32,33,24,301000000,145413100
2025-03-21,15,22,31,52,57,2,324000000,156524400
2025-03-25,1,5,17,39,62,8,344000000,166186400
2025-03-28,2,9,31,60,63,23,20000000,9662000
2025-04-01,11,12,21,29,49,3,29000000,14009900
2025-04-04,11,28,35,37,69,25,43000000,20773300
2025-04-08,10,16,50,60,61,17,54000000,26087400
2025-04-11,15,37,38,56,58,19,72000000,34783200
2025-04-15,6,10,13,24,63,2,96000000,46377600
2025-04-18,5,13,15,17,28,1,112000000,54107200
2025-04-22,25,39,49,52,65,22,50000000,24155000
2025-04-25,38,40,60,62,70,9,60000000,28986000
2025-04-29,16,33,40,51,57,10,70000000,33817000
2025-05-02,14,37,40,41,68,2,80000000,38648000
2025-05-06,16,17,43,46,58,16,90000000,43479000
2025-05-09,9,10,12,48,60,16,100000000,48310000
2025-05-13,6,29,33,47,68,20,110000000,53141000
2025-05-16,2,22,42,62,66,14,122000000,58938200
2025-05-20,18,30,33,55,64,11,139000000,67150900
2025-05-23,7,18,40,55,68,18,154000000,74397400
2025-05-27,6,28,34,48,62,9,173000000,83576300
2025-05-30,2,28,37,38,58,13,189000000,91305900
2025-06-06,16,40,54,56,57,3,223000000,107731300
2025-06-10,10,11,14,38,45,24,243000000,117393300
2025-06-13,8,10,22,40,47,1,264000000,127538400
2025-06-17,16,23,39,46,55,12,280000000,135268000
2025-06-20,26,49,58,61,63,9,302000000,145896200
2025-06-24,10,11,18,24,60,20,326000000,157490600
2025-06-27,18,21,29,42,50,2,348000000,168118800
2025-07-01,19,28,31,39,54,5,50000000,24155000
2025-07-04,17,20,24,41,42,24,60000000,28986000
2025-07-08,4,6,38,44,62,24,70000000,33817000
2025-07-11,12,23,24,31,56,1,80000000,38648000
2025-07-15,6,10,24,35,43,1,90000000,43479000
2025-07-18,11,43,54,55,63,3,100000000,48310000
2025-07-22,22,41,42,59,69,17,110000000,53141000
2025-07-29,17,30,34,63,67,11,130000000,62803000
2025-08-01,18,27,29,33,70,22,140000000,67634000
2025-08-05,12,27,42,59,65,2,150000000,72465000
2025-08-08,2,6,8,14,49,12,166000000,80194600
2025-08-12,1,8,31,56,67,23,182000000,87924200
2025-08-15,4,17,27,34,69,16,198000000,95653800
2025-08-19,10,19,24,49,68,10,216000000,104349600
2025-08-26,7,12,30,40,69,17,253000000,122224300
2025-08-29,13,31,32,44,45,21,277000000,133818700
2025-09-02,7,17,35,40,64,23,302000000,145896200
2025-09-05,6,14,36,58,62,24,336000000,162321600
2025-09-09,6,43,52,64,65,22,358000000,172949800
2025-09-12,17,18,21,42,64,7,381000000,184061100
2025-09-16,10,14,34,40,43,5,400000000,193240000
2025-09-19,2,22,27,42,58,8,423000000,204351300
2025-09-26,4,21,27,33,49,21,474000000,228989400
2025-09-30,4,8,27,37,63,14,497000000,240100700
2025-10-03,18,19,38,54,57,19,520000000,251212000
2025-10-07,17,26,33,45,56,19,547000000,264255700
2025-10-10,3,18,23,32,56,8,575000000,277782500
2025-10-14,12,22,49,57,58,19,600000000,289860000
2025-10-17,9,21,27,48,56,10,625000000,301937500
2025-10-21,2,18,27,34,59,18,650000000,314015000
2025-10-24,11,18,31,51,56,24,680000000,328508000
2025-10-28,2,19,33,53,61,14,714000000,344933400
2025-10-31,2,24,52,66,68,9,754000000,364257400
2025-11-04,11,14,17,50,57,6,800000000,386480000
2025-11-07,16,21,23,48,70,5,843000000,407253300
2025-11-11,10,13,40,42,46,1,900000000,434790000
2025-11-14,1,8,11,12,57,7,980000000,473438000
2025-11-18,5,10,23,27,30,10,50000000,24155000
2025-11-21,3,4,19,31,63,9,60000000,28986000
2025-11-25,11,15,31,32,59,18,70000000,33817000
2025-11-28,6,7,13,39,48,4,80000000,38648000
